Fecha,ID,CLIENTE,INGRESOS,Estimado,ESTADO,Nombre,Pago Realizado,id_facturacion,cuit_emisor ,cuit_receptor
25/02/2026,FS25022026-c28-0ZIE,c28,45892,"$20,000.00",Pendiente,Toro,,,,
28/02/2026,FS28022026-c21-0XEX,c21,45892,"$115,000.00",Facturado,Electro Alem,12/03/2026,,,
01/03/2026,FS01032026-c23-HHY3,c23,45311,"$98,000.00",Transaccion completada,24 Quiro,12/03/2026,,,
01/03/2026,FS01032026-c23-RWVC,c23,45892,"$98,000.00",Transaccion completada,24 Quiro,12/03/2026,,,
01/03/2026,FS01032026-c14-NNYA,c14,45413,"$320,000.00",Transaccion completada,Shell San Vicente,12/03/2026,,,
01/03/2026,FS01032026-c18-0FW3,c18,45413,"$320,000.00",Transaccion completada,Shell Mosconi,12/03/2026,,,
01/03/2026,FS01032026-c4-MRXN,c4,45892,"$60,000.00",Transaccion completada,Crystal,12/03/2026,,,
01/03/2026,FS01032026-c4-75SA,c4,45413,"$350,000.00",Transaccion completada,Crystal,12/03/2026,,,
01/03/2026,FS01032026-C36-HLWH,C36,45413,"$450,000.00",Transaccion completada,Importfull,12/03/2026,,,
02/03/2026,FS02032026-C36-YQCX,C36,45892,"$15,000.00",Transaccion completada,Importfull,12/03/2026,,,
05/03/2026,FS05032026-c5-XW28,c5,45413,"$350,000.00",Transaccion completada,Zamplin,12/03/2026,,,
05/03/2026,FS05032026-c7-W81K,c7,45413,"$350,000.00",Transaccion completada,Altos Músicos,12/03/2026,,,
05/03/2026,FS05032026-c6-8FP8,c6,45413,"$350,000.00",Transaccion completada,Alma de Músicos,12/03/2026,,,
05/03/2026,FS05032026-c8-NO71,c8,45413,"$350,000.00",Transaccion completada,Infinity,12/03/2026,,,
10/03/2026,FS10032026-c10-WNTN,c10,45311,"$15,000.00",Transaccion completada,Honda,12/03/2026,,,
10/03/2026,FS10032026-c10-UL8B,c10,45900,"$30,000.00",Transaccion completada,Honda,12/03/2026,,,
10/03/2026,FS10032026-c10-W8WF,c10,45413,"$210,000.00",Transaccion completada,Honda,12/03/2026,,,
10/03/2026,FS10032026-c12-2X5K,c12,45413,"$450,000.00",Facturado,Limbox,,,,
10/03/2026,FS10032026-c12-O47G,c12,45892,"$50,000.00",Facturado,Limbox,,,,
10/03/2026,FS10032026-c17-2K3A,c17,45413,"$350,000.00",Pendiente,Wollen,,,,
18/03/2026,FS18032026-c5-QF31,c5,45311,"$160,000.00",Facturado,Zamplin,,,,
18/03/2026,FS18032026-c5-7JQ9,c5,45892,"$112,000.00",Facturado,Zamplin,,,,
19/03/2026,FS19032026-c27-2VUO,c27,45413,"$350,000.00",Pendiente,Wollen Cofico,,,,
19/03/2026,FS19032026-c27-5F2A,c27,45892,"$50,000.00",Pendiente,Wollen Cofico,,,,
19/03/2026,FS19032026-c17-ZAD6,c17,45897,"$230,000.00",Pendiente,Wollen,,,,
20/03/2026,FS20032026-c20-HI56,c20,45892,"$434,000.00",Pendiente,Sanchez Antoniolli,,,,
20/03/2026,FS20032026-c31-WTVJ,c31,45311,"$160,000.00",Pendiente,QuiroProsalud,,,,
25/03/2026,FS25032026-c28-R12N,c28,45413,"$400,000.00",Pendiente,Toro,,,,
25/03/2026,FS25032026-c28-JU9Q,c28,45892,"$20,000.00",Pendiente,Toro,,,,
28/03/2026,FS28032026-c21-EUWQ,c21,45892,"$115,000.00",Pendiente,Electro Alem,,,,
